Algorithm, method_start, restart, dimension, step, a, s1, s2, fes, fx
NM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 0.31641, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 0.31641, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 1.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 1.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 0.00000, 1075, 0.000045
ANM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 0.00000, 207, 0.000045
NM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 0.00391, 1075, 0.000045
ANM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 0.00391, 207, 0.000045
NM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 0.06250, 1075, 0.000045
ANM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 0.06250, 207, 0.000045
NM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 0.31641, 1075, 0.000045
ANM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 0.31641, 207, 0.000045
NM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 1.00000, 1075, 0.000045
ANM, pfefferSimplex, oriented, 5, default, 1.00300, 0.00000, 1.00000, 207, 0.000045
